genesymbol	entrezgene
Gm12359	100037262
Rnaset2a	100037283
Faddos	100038412
Gm12542	100038512
Gm10658	100038566
Gm10824	100038582
Gm14812	100038584
Gm10748	100038710
Gm10304	100038724
Gm10731	100039043
Gm2027	100039062
Gm11810	100039478
Tgif2lx2	100039551
Gm10335	100039571
A430060F13Rik	100039739
Gm20815	100039753
Gm2449	100039837
Gm12739	100040110
Gm10212	100040454
Gm2830	100040543
Gm10036	100040551
Gm16427	100040885
Gm16430	100040894
Gm3072	100040976
Gm10238	100041092
Gm3140	100041105
Gm3150	100041120
Gm3294	100041367
Gm3325	100041420
Gm3362	100041478
1700049E17Rik2	100041722
Gm3550	100041859
Gm14586	100041925
Gm3669	100042103
Gm3685	100042129
Gm10230	100042175
Gm11353	100042180
Gm3902	100042554
Gm16381	100042786
Gm4184	100043039
Gm4279	100043171
Gm13815	100043205
Gm4340	100043292
Trav12-2	100043322
Gm14005	100043424
Gm10355	100043490
Gm4567	100043645
Gm20939	100044193
Gm16894	100047133
Gm12945	100048926
Gm13558	100048982
Mir743	100049546
Traj6	100124397
Trbj2-6	100125260
Krt83	100126226
Gm10935	100217369
Snord71	100217432
Snord53	100217456
Snord70	100217459
Stx12	100226
Snora75	100303740
Gm10509	100310809
Snord17	100313519
Mir1947	100316698
Mir1953	100316704
Mir1963	100316710
Mir1933	100316753
Mir466l	100316769
Gm15622	100379608
Gm12606	100379609
Tomm6os	100415787
Gm17046	100417764
Gm19277	100502602
Gm16010	100502670
Gm19335	100502712
1700007L15Rik	100502742
Gm19395	100502820
Gm19402	100502831
Gm19410	100502846
Gm16998	100502920
Gm19500	100503007
Gm19582	100503175
LOC100503338	100503338
Gm19684	100503422
5031434C07Rik	100503613
Gm19866	100503743
Gm7931	100503799
Gm13056	100503810
Gm19929	100503855
AY761185	100503970
Gm16157	100504026
Gm20069	100504113
Rpl31-ps13	100504277
Abhd12b	100504285
Gm20169	100504320
Gm20257	100504501
Gm20328	100504645
Gm20362	100504701
Mir3962	100628615
Pds5b	100710
Gm21115	100861663
LOC100861784	100861784
Gm21319	100861908
Gm21680	100862368
Gm5121	101154638
Cpne7	102278
Hinfp	102423
LOC102633321	102633321
LOC102634296	102634296
Gm22043	102634406
LOC102634924	102634924
Gm25432	102635008
Gm12056	102635510
LOC102635960	102635960
LOC102636367	102636367
LOC102637192	102637192
LOC102637720	102637720
LOC102637838	102637838
LOC102638085	102638085
Gm15927	102638607
Gm12119	102640360
Gm11009	102640556
Gm12963	102640839
Nudt10	102954
Rdh9	103142
Gpc5	103978
Qsox1	104009
Zfp120	104348
Rhox9	104384
Sptssa	104725
Fancm	104806
Cbll1	104836
Gm13855	105242626
Gm12763	105242906
Gm15774	105243045
Gm13528	105244118
Gm16271	105245254
Gm26562	105246095
Slc17a3	105355
Utp15	105372
Slc38a1	105727
Rfc4	106344
Smim3	106878
Slc39a3	106947
Fbxo38	107035
Btaf1	107182
Yars	107271
Acaca	107476
Cth	107869
Pip4k2b	108083
Slco4a1	108115
U2af1	108121
Snord21	108638
Lyrm2	108755
Aida	108909
Tpr	108989
Rnf20	109331
B230398E01Rik	109334
Txlna	109658
Cyb5a	109672
Rap1a	109905
Grik4	110637
Adam33	110751
Rpl10	110954
Nudt19	110959
Hmgb1-ps9	111230
Vmn1r50	113852
Slc33a1	11416
Aco1	11428
Palmd	114301
4930444G20Rik	114671
Actg2	11468
Adra2b	11552
Aire	11634
Vps4a	116733
Iltifb	116849
Ube3b	117146
Api5	11800
Asgr2	11890
Serpinc1	11905
Zfhx3	11906
Atp5g1	11951
Atpif1	11983
Bcap29	12033
Phb2	12034
Bcat2	12036
Bet1	12068
Bglap	12096
Bmpr2	12168
Bpgm	12183
Bub3	12237
Car1	12346
Cast	12380
Cct3	12462
Cct6a	12466
Cd2	12481
Cd38	12494
Cd7	12516
Cd72	12517
Cdh2	12558
Cdk5r1	12569
Cdkn2c	12580
Cenpc1	12617
Cfl2	12632
Ch25h	12642
Chgb	12653
Chml	12663
Cops2	12848
Cox6c	12864
Cst8	13012
Cstb	13014
Pcyt1a	13026
Defb1	13214
Defb2	13215
Defa3	13237
Dnase1l3	13421
Doc2a	13446
Doc2b	13447
Drd5	13492
E2f1	13555
Ebf3	13593
Ednrb	13618
Eef1a1	13627
Efna5	13640
Klk1b9	13648
Ehd1	13660
Eln	13717
Chchd2	14004
Slc17a6	140919
Lgr5	14160
Fgf17	14171
Fgf4	14175
Foxi1	14233
Fosl1	14283
Fut4-ps1	14346
Gabra1	14394
Gabra4	14397
Gabrg1	14405
Gbp2	14469
Gfi1b	14582
Gk2	14626
Gnai1	14677
Gnb3	14695
Cmklr1	14747
Gpr19	14760
Grik1	14805
Gspt1	14852
Guca1a	14913
Gucy2e	14919
Gzmc	14940
H2-K1	14972
H2-Q2	15013
Hal	15109
Hdgf	15191
Foxq1	15220
Hmbs	15288
Hmgb1	15289
Hmx1	15371
Hoxd4	15436
Dnajb3	15504
Hsp90aa1	15519
Idh1	15926
Ifi47	15953
Igf2	16002
Igh-V10	16050
Igh-VJ558	16061
Iglv1	16142
Il13	16163
Inha	16322
Inhba	16323
Eif3e	16341
Irf1	16362
Irf9	16391
Itga4	16401
Itgae	16407
Itln1	16429
Jarid2	16468
Jun	16476
Kcna6	16494
Kcne1	16509
Kifap3	16579
Fabp5	16592
Kng1	16644
Kras	16653
Krt10	16661
Krt4	16682
L1cam	16728
Rpsa	16785
Lnx1	16924
Lta4h	16993
Slc2a10	170441
Stard4	170459
Pilrb1	170741
Acbd3	170760
Hdac10	170787
Glmn	170823
Ly9	17085
Sumo2	170930
Vmn1r35	171185
Vmn1r19	171200
Mxd3	17121
Galnt10	171212
Smad1	17125
Vmn1r198	171254
Il17rd	171463
Maoa	17161
Mela	17276
Meox2	17286
Mep1a	17287
Mesp1	17292
Bhlha15	17341
Mog	17441
Mpeg1	17476
Msl3	17692
COX1	17708
CYTB	17711
ND4L	17720
Myh6	17888
Myo6	17920
Nap1l4	17955
Mrpl49	18120
Nsg2	18197
Odf1	18285
Olfr15	18312
Olfr263	18341
Olfr46	18345
Oprl1	18389
Sigmar1	18391
Orc2	18393
Pcdh10	18526
Pcmt1	18537
Pdgfb	18591
Pecam1	18613
Pet2	18630
Pex7	18634
Phxr2	18687
Plscr2	18828
Pou5f1	18999
Inpp5k	19062
Prkg1	19091
Prl	19109
Klk6	19144
Cyth3	19159
Pten	19211
Pter	19212
Tmsb10	19240
Ptn	19242
Ptpn20	19256
Ptprb	19263
Ptprk	19272
Ptprt	19281
Pvt1	19296
Dennd5a	19347
Rad23a	19358
Rad51d	19364
Tmem199	195040
Rbbp6	19647
Rbm6	19654
Rgs5	19737
Rhag	19743
Rheb	19744
Rprl1	19783
Rprl2	19784
Rn7sk	19817
Rny1	19872
Rpl19	19921
Rpl6	19988
Rxrg	20183
S100a13	20196
Prrx2	20204
Sf3a2	20222
Sar1a	20224
Sat1	20229
Scg2	20254
Scn5a	20271
Scx	20289
Ccl17	20295
Selenbp1	20341
Sema3e	20349
Serf1	20365
Sfrp1	20377
Sgce	20392
St8sia3	20451
Stil	20460
Slbp	20492
Slc18a3	20508
Slc20a1	20515
Slc22a2	20518
Smn1	20595
Sstr1	20605
Snrpd1	20641
Spam1	20690
Fam120c	207375
Skor1	207667
Gtpbp10	207704
Smagp	207818
Chmp6	208092
Panx3	208098
Srp14	20813
Trove2	20822
Mob3a	208228
Znrf4	20834
Stam	20844
Stfa2	20862
Stfa3	20863
Samd9l	209086
Suclg2	20917
Ido2	209176
Sycp1-ps1	20958
Kif15	209737
Dennd2a	209773
Mtrr	210009
Tsga10	211484
Pde12	211948
Tmem60	212090
Wdr25	212198
Mapre2	212307
Klhl32	212390
Lcor	212391
9330159F19Rik	212448
Iffo2	212632
Kctd7	212919
Gm44	212952
Zfp583	213011
Scyl2	213326
Taf1a	21339
Taf1b	21340
Tbr1	21375
Plekhg1	213783
