#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Sugt1	Hsp90aa1	2102636	2095266	10090.ENSMUSP00000052942	10090.ENSMUSP00000021698	0	0	0	0	0	0.989	0	0.769	0.997
Srp9	Srp14	2097006	2094023	10090.ENSMUSP00000027792	10090.ENSMUSP00000009693	0	0	0	0	0	0.985	0	0.757	0.996
Orc6	Orc2	2099001	2096821	10090.ENSMUSP00000034132	10090.ENSMUSP00000027198	0	0	0	0	0	0.982	0	0.689	0.994
Eif3l	Eif3e	2100075	2095679	10090.ENSMUSP00000038839	10090.ENSMUSP00000022960	0	0	0	0	0	0.988	0	0.423	0.992
Cops2	Cops6	2097256	2094673	10090.ENSMUSP00000028635	10090.ENSMUSP00000019638	0	0	0	0	0	0.986	0	0.370	0.991
Scn5a	Scn11a	2104762	2104661	10090.ENSMUSP00000066228	10090.ENSMUSP00000065466	0	0	0	0.924	0	0.990	0	0.669	0.991
Mad2l1	Bub3	2110075	2107328	10090.ENSMUSP00000098897	10090.ENSMUSP00000081547	0	0	0	0	0	0.963	0	0.719	0.989
Uba3	Ube2m	2107932	2093728	10090.ENSMUSP00000086701	10090.ENSMUSP00000005714	0	0	0	0	0	0.916	0	0.862	0.987
Rpsa	Rps26	2099357	2096602	10090.ENSMUSP00000035105	10090.ENSMUSP00000026420	0	0	0	0	0	0.984	0	0.083	0.985
Rps26	Rpl19	2096602	2094431	10090.ENSMUSP00000026420	10090.ENSMUSP00000017548	0	0	0	0	0	0.972	0	0.452	0.984
Mrpl47	Mrpl49	2101781	2093913	10090.ENSMUSP00000048078	10090.ENSMUSP00000007482	0	0	0	0	0	0.959	0	0.518	0.979
Orc2	Rpa1	2096821	2093147	10090.ENSMUSP00000027198	10090.ENSMUSP00000000767	0	0	0	0	0	0.968	0	0.322	0.977
Polr3c	Polr3h	2097631	2095731	10090.ENSMUSP00000029741	10090.ENSMUSP00000023113	0	0	0	0	0	0.957	0	0.474	0.976
Sugt1	Hsp90b1	2102636	2094799	10090.ENSMUSP00000052942	10090.ENSMUSP00000020238	0	0	0	0	0	0.912	0	0.679	0.970
Nup160	Nup43	2103726	2101518	10090.ENSMUSP00000059289	10090.ENSMUSP00000046732	0	0	0	0	0	0.920	0	0.646	0.970
Mrpl15	Mrpl47	2112558	2101781	10090.ENSMUSP00000115512	10090.ENSMUSP00000048078	0	0	0	0	0	0.968	0	0	0.968
Rps23	Rps26	2102909	2096602	10090.ENSMUSP00000054490	10090.ENSMUSP00000026420	0	0	0	0	0	0.922	0	0.602	0.967
Vps4a	Chmp6	2099099	2096607	10090.ENSMUSP00000034388	10090.ENSMUSP00000026434	0	0	0	0	0	0.904	0	0.673	0.967
Cdc40	Snrpd1	2101072	2093392	10090.ENSMUSP00000044305	10090.ENSMUSP00000002551	0	0	0	0	0	0.963	0	0.120	0.966
Mrpl47	Mrpl22	2101781	2094979	10090.ENSMUSP00000048078	10090.ENSMUSP00000020820	0	0	0	0	0	0.966	0	0.059	0.966
Tbk1	Irf3	2094831	2093473	10090.ENSMUSP00000020316	10090.ENSMUSP00000003284	0	0	0	0	0	0.464	0	0.928	0.960
Jun	Fosl1	2102864	2096435	10090.ENSMUSP00000054270	10090.ENSMUSP00000025850	0	0	0	0	0	0.676	0	0.881	0.959
Nup98	Nup160	2105072	2103726	10090.ENSMUSP00000068530	10090.ENSMUSP00000059289	0	0	0	0	0	0.886	0	0.617	0.954
Nup98	Nup43	2105072	2101518	10090.ENSMUSP00000068530	10090.ENSMUSP00000046732	0	0	0	0	0	0.920	0	0.397	0.949
Rps27a	Rps26	2110414	2096602	10090.ENSMUSP00000099908	10090.ENSMUSP00000026420	0	0	0	0	0	0.908	0	0.433	0.945
Azi2	Tbk1	2101076	2094831	10090.ENSMUSP00000044350	10090.ENSMUSP00000020316	0	0	0	0	0	0.903	0	0.420	0.941
Fancm	Rad51l3	2102958	2094584	10090.ENSMUSP00000054797	10090.ENSMUSP00000018985	0	0	0	0	0	0.746	0	0.760	0.936
Rps23	Rpsa	2102909	2099357	10090.ENSMUSP00000054490	10090.ENSMUSP00000035105	0	0	0	0	0	0.906	0	0.274	0.928
Brix1	Pes1	2095648	2094954	10090.ENSMUSP00000022855	10090.ENSMUSP00000020705	0	0	0	0	0	0.917	0	0.132	0.924
Mrpl48	Mrpl47	2112592	2101781	10090.ENSMUSP00000116090	10090.ENSMUSP00000048078	0	0	0	0	0	0.920	0	0	0.920
Orc6	Rpa1	2099001	2093147	10090.ENSMUSP00000034132	10090.ENSMUSP00000000767	0	0	0	0	0	0.913	0	0.082	0.916
Rpl35a	Rpl6	2106680	2098248	10090.ENSMUSP00000077857	10090.ENSMUSP00000031617	0	0	0	0	0	0.802	0	0.593	0.916
